Minis ; ; ; ;; ; ; ; ;; 
Oberklasse ; ; ; ;; ; ; ; ;; 
ALPINA B7 BITURBO ;-;-;;X;-;13;0; ;X;69,2
AUDI A8, S8   ;204;10,2;-;62,2;93,6; 4 728;15,9;-;0,5;93,4
BENTLEY CONTINENTAL;21;1;;X;85,7;236;0,8;+;31,1;73,3
BENTLEY MULSANNE;-;-;;X;-;34;0,1; ;X;67,6
BMW 6ER   ;122;6,1;+;56,4;73; 1 681;5,7;+;129,6;79,5
BMW 7ER   ;382;19;-;46,6;84; 5 062;17;-;0,2;91,3
GM CADILLAC CTS   ;10;0,5;;X;70;57;0,2;-;36,7;89,5
JAGUAR XJ   ;44;2,2;-;48,2;79,5;615;2,1;+;12,8;85,5
LEXUS LS   ;3;0,1;;X;66,7;33;0,1;-;58,8;75,8
MASERATI QUATTROPORTE;4;0,2;;X;75;52;0,2;-;46,9;73,1
MAYBACH   ;-;-;;X;-;28;0,1; ;X;100
MERCEDES CL-KLASSE;22;1,1;-;46,3;86,4;383;1,3;-;4,3;76,5
MERCEDES CLS   ;429;21,4;+;1 028,9;68,8; 6 248;21;+;387,4;74,7
MERCEDES S-KLASSE;229;11,4;-;14,2;83; 4 730;15,9;-;8,6;87,5
PORSCHE PANAMERA;350;17,4;+;118,8;79,7; 3 391;11,4;+;26,8;81
ROLLS-ROYCE GHOST;4;0,2;;X;50;36;0,1; ;X;83,3
ROLLS-ROYCE PHANTOM;1;0;;X;100;15;0,1; ;X;93,3
VW PHAETON   ;182;9,1;+;22,1;90,1; 2 388;8;+;46,7;86,4
SONSTIGE   ;-;-;;X;-;-;-; ;X;-
ZUSAMMEN   ; 2 007 ;0,8;-;6;80,5; 29 730;0,9;+ ;30,3;84,8
Gel‰ndewagen ; ; ; ;; ; ; ; ;; 
AUDI Q3; 1 071;3,4;;X;46,3; 2 931;0,8; ;X;65,8
AUDI Q5; 1 161;3,7;-;45,5;64,3; 21 742;6;-;6,1;60,1
AUDI Q7;235;0,7;-;48,6;74; 4 411;1,2;-;4,4;78,6
BMW X1; 3 152;9,9;+;46,2;58,6; 33 480;9,3;+;25,7;49,7
BMW X3; 2 090;6,6;+;98,1;51,1; 20 863;5,8;+;99,8;48,4
BMW X5;919;2,9;-;26,9;72,1; 9 870;2,7;-;8,9;74
BMW X6;394;1,2;-;22;68,5; 4 403;1,2;-;10,4;69,7
CHEVROLET CAPTIVA;243;0,8;-;55,4;46,5; 2 955;0,8;-;1,7;60,9
CITROEN CCROSSER;14;0;-;58,8;57,1;507;0,1;-;52,7;64,7
DACIA DUSTER; 1 575;5;-;9,8;15; 22 726;6,3;+;99,4;14,4
DAIHATSU TERIOS;87;0,3;-;5,4;65,5;806;0,2;-;32,5;44
DODGE NITRO;10;0;;X;70;65;0;-;85,2;66,2
FIAT SEDICI;110;0,3;+;103,7;78,2; 1 625;0,5;+;1,1;50,6
FORD KUGA; 1 157;3,6;+;9,5;76; 16 974;4,7;+;20,8;64,6
GM CADILLAC ESCALADE;21;0,1;;X;81;107;0;+;3,9;72
HONDA CR-V;368;1,2;-;29,9;26,4; 5 586;1,6;+;9;28,5
HYUNDAI IX 35; 1 024;3,2;+;15,1;30,7; 13 247;3,7;+;23,8;38
HYUNDAI IX 55;30;0,1;-;26,8;90;469;0,1;-;16,5;77,2
HYUNDAI SANTA FE ;126;0,4;-;10;42,9; 1 954;0,5;-;6,9;41,9
INFINITI EX30D;2;0;;X;-;64;0; ;X;64,1
INFINITI EX37   ;3;0;;X;33,3;30;0;-;21,1;60
INFINITI FX   ;92;0,3;+;170,6;80,4;663;0,2;+;139,4;74,8
JEEP CHEROKEE   ;1;0;;X;-;149;0;-;60,6;51,7
JEEP COMPASS   ;45;0,1;;X;46,7;851;0,2; ;X;70,6
JEEP GRAND CHEROKEE;169;0,5;+;53,6;60,4; 1 390;0,4;+;81,2;62,9
JEEP PATRIOT   ;1;0;-;99,2;-;328;0,1;-;18,2;65,9
JEEP WRANGLER   ;105;0,3;+;118,8;51,4; 1 272;0,4;+;108,9;51,7
KIA SORENTO   ;365;1,2;+;34,2;78,9; 3 302;0,9;-;7,5;56,5
KIA SPORTAGE   ;809;2,6;+;32,6;45,2; 9 092;2,5;+;47,9;36,2
LADA NIVA   ;174;0,5;-;47;31,6; 1 793;0,5;-;14,7;37,2
LAND ROVER DEFENDER;3;0;-;95,7;33,3;45;0;-;94,5;62,2
LAND ROVER DISCOVERY;189;0,6;+ ;278;78,8; 1 328;0,4;+   ;16,8;69,8
LAND ROVER FREELANDER;79;0,2;-;46,6;53,2; 1 513;0,4;-;35;52,3
LAND ROVER RANGE ROVER;113;0,4;+;98,2;90,3;830;0,2;+;50,9;75,1
LAND ROVER RANGE ROVER EVO.;227;0,7;;X;51,1; 1 058;0,3; ;X;66,9
LAND ROVER RANGE ROVER SPORT;169;0,5;+;20,7;79,3; 1 895;0,5;+;8,6;72,9
LEXUS RX   ;92;0,3;-;43,9;68,5;717;0,2;-;39,2;66,1
MAZDA CX-7   ;161;0,5;-;61;67,1; 2 957;0,8;-;22,2;70,4
MAZDA CX-9   ;-;-;-;100;-;87;0;-;70,5;62,1
MERCEDES G-KLASSE;133;0,4;+;0,8;72,9; 1 269;0,4;+;14,4;79,1
MERCEDES GL-KLASSE;60;0,2;-;40;88,3; 1 155;0,3;+;17,4;86
MERCEDES GLK   ; 1 217;3,8;+;5,4;56,9; 14 062;3,9;+;11,7;54,4
MERCEDES ML-KLASSE; 1 438;4,5;+;148,4;79,1; 6 850;1,9;-;9,8;77,8
MERCEDES R-KLASSE;235;0,7;+;63,2;81,7; 2 161;0,6;+;28,7;82,2
MITSUBISHI ASX   ;592;1,9;+;45,8;28; 10 082;2,8;+;147,8;23,4
MITSUBISHI L200   ;1;0;;X;-;24;0;-;40;37,5
MITSUBISHI OUTLANDER;323;1;-;37,4;39,3; 4 539;1,3;-;10,6;42
MITSUBISHI PAJERO, MONTERO;180;0,6;+;2,9;55,6; 1 917;0,5;+;38;51,4
NISSAN MURANO   ;33;0,1;+;6,5;72,7;465;0,1;+;19,5;62,2
NISSAN PATHFINDER;110;0,3;;X;77,3;891;0,2;+;183,8;60,7
NISSAN X-TRAIL   ;147;0,5;-;5,8;57,1; 1 870;0,5;+;82,8;40,3
OPEL ANTARA   ;170;0,5;+;153,7;68,2; 1 628;0,5;+;32,8;66,5
PEUGEOT 4007   ;42;0,1;-;33,3;54,8;476;0,1;-;33,9;67,2
PORSCHE CAYENNE;443;1,4;-;31;60,7; 6 091;1,7;+;15,7;62,5
RENAULT KOLEOS   ;118;0,4;-;44,9;47,5; 2 149;0,6;+;31,6;49,1
SKODA YETI   ; 1 682;5,3;+;73,9;35,4; 19 420;5,4;+;40,6;31,6
SSANGYONG KORANDO, ACTYON;29;0,1;;X;58,6;274;0,1;+;878,6;64,6
SSANGYONG REXTON;8;0;- ;75,8;50;67;0;-40,7;;65,7
SUBARU FORESTER ;205;0,6;-;62,9;58,5; 3 329;0,9;-;13;59,9
SUZUKI GRAND VITARA ;412;1,3;+;3,3;35,9; 4 671;1,3;+;44,9;32,1
SUZUKI JIMNY   ;484;1,5;+;5,7;27,9; 4 153;1,2;-;8,4;20,6
TOYOTA LANDCRUISER ;319;1;+;36,3;74,9; 1 974;0,5;+;22,9;71,6
TOYOTA RAV 4   ; 1 086;3,4;+;52,3;67,9; 7 404;2,1;+;15;44
VOLVO XC60   ;999;3,1;+;33,7;73,4; 9 405;2,6;+;25,9;63,2
VOLVO XC70   ;153;0,5;-;12,1;68,6; 1 292;0,4;+;19;70,6
VOLVO XC90   ;190;0,6;-;3,6;71,6; 2 260;0,6;+;20,1;71,6
VW TIGUAN   ; 3 431;10,8;+;23;36,8; 45 662;12,7;+;18;37
VW TOUAREG   ;886;2,8;+;142,7;80; 10 438;2,9;+;43,8;76,9
SONSTIGE   ;3;0;-;93;100;42;0;-;98;71,4
ZUSAMMEN   ; 31 715 ;13;+;15,4;53,6; 360 105;11,3;+ ;22;48,8
Sportwagen ; ; ; ;; ; ; ; ;; 
ALFA 8C COMPETIZIONE;-;-;;X;-;12;0;-;74,5;50
ASTON MARTIN DBS ;-;-;;X;-;65;0,1;-;5,8;70,8
ASTON MARTIN DB9;-;-;;X;-;67;0,1;-;19,3;80,6
ASTON MARTIN RAPIDE;2;0,1;;X;100;101;0,2;+;42,3;85,1
ASTON MARTIN VIRAGE;-;-;;X;-;35;0,1; ;X;88,6
ASTON MARTIN V8   ;6;0,2;;X;66,7;173;0,4;+;3;71,1
ASTON MARTIN V12 ;1;0;;X;-;41;0,1;-;10,9;78
AUDI R8;20;0,8;- ;37,5;65;549;1,1;-;20,8;83,1
AUDI TT;195;8;- ;27,2;58,5; 5 802;12;+;7,7;58,8
BMW Z4;117;4,8;- ;34,3;51,3; 4 480;9,3;-;27,5;56,8
CHRYSLER CROSSFIRE;2;0,1;;X;50;2;0; ;X;50
DODGE VIPER;-;-;;X;-;1;0; ;X;-
FERRARI CALIFORNIA;8;0,3;;X;87,5;191;0,4;-;29,5;59,7
FERRARI F 430;3;0,1;;X;33,3;18;0;-;75,3;55,6
FERRARI FF;11;0,4;;X;63,6;58;0,1; ;X;79,3
FERRARI 458;25;1;;X;80;356;0,7;+;54,8;57,6
FERRARI 599 GTB;1;0;;X;100;9;0;-;80,9;33,3
FERRARI 599 GTO;1;0;;X;-;45;0,1;+;55,2;46,7
FERRARI 612 SCAGLIETTI;-;-;;X;-;2;0; ;X;50
FORD MUSTANG;2;0,1;;X;50;10;0;-;72,2;40
GM CADILLAC XLR ROADSTER;-;-;;X;-;1;0; ;X;100
GM CAMARO;9;0,4;;X;11,1;44;0,1; ;X;63,6
GM CORVETTE;10;0,4;- ;71,4;90;180;0,4;-;35,5;73,3
HONDA CR-Z;37;1,5;- ;2,6;45,9;770;1,6;-;44;48,3
HYUNDAI VELOSTER;129;5,3;;X;79,1;782;1,6; ;X;78,6
JAGUAR XK;22;0,9;;X;81,8;560;1,2;+;15;86,4
LAMBORGHINI AVENTADOR;5;0,2;;X;40;14;0; ;X;78,6
LAMBORGHINI GALLARDO;2;0,1;;X;50;68;0,1;-;20,9;60,3
LAMBORGHINI MURCIELAGO;-;-;;X;-;1;0;  X;;100
LEXUS LFA;-;-;;X;-;4;0; ;X;50
LEXUS SC   ;-;-;;X;-;1;0; ;X;100
LOTUS ELISE   ;1;0;;X;-;38;0,1;-;54,8;34,2
LOTUS EUROPA   ;-;-;;X;-;1;0; ;X;100
