Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
HYUNDAI VELOSTER;15;0,8;-;85,1;66,7;265;0,7;-;82,9;39,2;
JAGUAR F-TYPE;27;1,5;;X;66,7;723;1,8; ;X;76,3;
JAGUAR XK   ;19;1;;X;84,2;291;0,7;-;33,6;72,2;
LAMBORGHINI AVENTADOR;2;0,1;;X;100;78;0,2;+;77,3;57,7;
LAMBORGHINI GALLARDO;3;0,2;;X;66,7;54;0,1;-;10;61,1;
LAMBORGHINI MURCIELAGO;-;-;;X;-;1;0; ;X;-;
LOTUS ELISE   ;6;0,3;;X;33,3;33;0,1;-;19,5;36,4;
LOTUS EUROPA   ;-;-;;X;-;1;0; ;X;-;
LOTUS EVORA   ;-;-;;X;-;9;0; ;X;66,7;
LOTUS EXIGE   ;1;0,1;;X;100;28;0,1; ;X;39,3;
MASERATI GHIBLI   ;32;1,7;;X;81,3;83;0,2; ;X;90,4;
MASERATI GRANTURISMO;5;0,3;;X;80;174;0,4;-;15,5;69,5;
MERCEDES CLK   ;-;-;;X;-;1;0; ;X;-;
MERCEDES E-KLASSE COUPE;447;24,3;+;8,8;40,7; 8 230;20,5;-;3,6;52,4;
MERCEDES SL   ;50;2,7;-;18;64; 1 433;3,6;-;36,6;64,1;
MERCEDES SLK   ;166;9;-;2,4;44,6; 4 927;12,3;-;31;48,4;
MERCEDES SLR   ;-;-;;X;-;1;0; ;X;-;
MERCEDES SLS AMG;21;1,1;;X;85,7;339;0,8;-;47,4;74;
MORGAN AERO 8   ;1;0,1;;X;-;1;0; ;X;-;
MORGAN 4/4   ;3;0,2;;X;33,3;83;0,2;-;9,8;27,7;
